row_type	historical_sha	hunk_id	path	current_disposition	recommended_disposition	evidence	rationale
commit	283e0be97a6219d4dbc5c7f7a413eb1d2a3dbb81	ALL_COMMIT	*	PENDING_HUNK_VERIFICATION	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	30a9e9f403bb371dffba2c4261fbd1bcb9e788c5	ALL_COMMIT	*	PENDING_HUNK_VERIFICATION	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	482b36aec8811956c08626ebe634d9dc2fa646d1	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	4384ea1c94483c0e28f67adb78a1d2c08ed7bae7	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	292c926c259abfcab7d7b33676f045db14ee5ebb	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	a56b867a01336529149ce1ce8c6c1e4b124e618e	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	4a0b9753ea08ba067e9ecf4edf7d5c3f0a31dad0	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	99b4f71fa4791ad798b2028d5e8bf78f6804acb7	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	20863e26d31584454979b1dd37932489c28f5a43	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	9c602838b8ef49ceda3f32829cc0e2278366acfb	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	57bf491f43adf1309efbe3c09cec7f02d6b0363d	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	28d693ff1ff59954110d6c387fb7a78e1fa7052a	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	9fc21a878d58e7851fc103d2f285ab03fbcf30c8	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	5efece381be6f868f2930a6303f4c92ab4ce6102	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	81153be36de8c60938908635296ac80965b34c03	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	2a8e7756eec63821080d50fcc72c012fd46fd765	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	225e0cae1062ae9244e1350d488fa1867249e90a	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	c121c587502947b1a47f3941b5f5382632cbb8cd	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
commit	6281ba6dea22b4217d455ae27c135513b6a0fa17	ALL_COMMIT	*	PENDING_LEAN_REPLACEMENT	REPLACED_BY_LEAN_TELEMETRY	artifacts/quality/G8/result.md	historical commit is covered by the bounded summary adapter or intentional removal
